id	text	creation_time	user_loc
792932947909308416	@adirado29 @utopia4masses @GOP @HillaryClinton We're about to legalize weed. How many peeps you got in jail cause weed? Don't bring up CDN.	Mon Oct 31 03:35:21 +0000 2016	Bala, ON
792918475245285376	@Trey_Valeska @Aza_Roth @HillaryLostMe @donnabrazile yes and he decided to legalize weed now for the whole country in 2017	Mon Oct 31 02:37:50 +0000 2016	Toronto, ON, Canada
792670424882708480	United they stand for the legalization of #marijuana from lawn to lawn from here to there.… https://t.co/ebC9TCXBTw	Sun Oct 30 10:12:11 +0000 2016	Vancouver Island, BC
792223909995220992	Marijuana is going to get legal soon enough. One thing to look forward here.	Sat Oct 29 04:37:53 +0000 2016	Toronto
792155379320909825	An interesting question is which ones will sell the legal weed next year? https://t.co/H94c74GpJH	Sat Oct 29 00:05:34 +0000 2016	Ottawa
792137839962095616	How the actual he'll is this legal @BostonGlobe? Archdiocese to spend $850,000 against #marijuana legalization https://t.co/TJCdoV0R4e	Fri Oct 28 22:55:52 +0000 2016	Toronto
792072678878224384	LOL...voter fraud for Mayor = $10,000 bond but voter fraud for legalization of weed = $125,000 bond. Interesting. https://t.co/lpnNmMnzXd	Fri Oct 28 18:36:57 +0000 2016	The Great White North
792037468145061888	Interesting takeaway in the public health discussion of marijuana legalization @picardonhealth https://t.co/QbMWDbKVHt	Fri Oct 28 16:17:02 +0000 2016	Toronto
792030800380174336	Legal #Marijuana Industry in Canada Will be Bigger Than Alcohol, Study Says https://t.co/hy2y9Ji21V #Cannabis #CdnHealth #hcsm https://t.co/hAAXGWeN8J	Fri Oct 28 15:50:32 +0000 2016	Vancouver, BC, Canada
791993911430508544	Canadiabs evenly split on Cannabis legalization: an important footnote to consider in the rush for the gate https://t.co/IGTPiWt0di	Fri Oct 28 13:23:57 +0000 2016	Halifax, Nova Scotia
791768477191241728	Confused about how to vote on PROP 64 pot legalization? First, get the facts straight- https://t.co/l5LcTWZx22	Thu Oct 27 22:28:09 +0000 2016	Toronto, Canada
791637651988238338	Christy Clark "thinks"? If so, why no BC legalization of opioid killing marijuana yet? @SensibleBC Why maintain lost drug war? #hypocrite https://t.co/tBYx5eCQ4c	Thu Oct 27 13:48:18 +0000 2016	Victoria, BC
791636872715988994	@GlobalBC @globalnews She thinks? If so, why no legalization of opioid killing marijuana yet? @SensibleBC Why maintain the losing drug war?	Thu Oct 27 13:45:13 +0000 2016	Victoria, BC
791509164358938624	The impact of legalization of marijuana on our youth. The challenges my colleagues face in Colorado. https://t.co/utd8wz3ZCk	Thu Oct 27 05:17:44 +0000 2016	Vancouver, Canada
791340065465077760	I'm #justsayin if weed were legal we'd have no debt, new jobs &amp; less crime. More:money_bag:4 social programs and the poor. @JustinTrudeau #Winnipeg	Wed Oct 26 18:05:48 +0000 2016	Winnipeg, Manitoba
790988295526354944	It's a funny world when Hell's Angels are protesting the legalization of marijuana and Shopper's Drug Mart wants to become pot distributor.	Tue Oct 25 18:48:00 +0000 2016	Toronto Canada
790966370284347392	@marketcall @AndrewBellBNN is CGC in sell mode or a long term hold? Thoughts on the marijuana legalization plan?	Tue Oct 25 17:20:52 +0000 2016	Toronto Canada
790959661033730048	I guess @scotiabank doesn't want to earn revenue off the largest growing segment in banking, #cannabis is legal and here to stay. Wake up! https://t.co/oqBLbZGqjo	Tue Oct 25 16:54:13 +0000 2016	Calgary Alberta Portland OR San Diego California
790939664722956289	Not a great couple of days (year?) for @JustinTrudeau...the youth he swayed with #marijuana legalization now booing re #Jobs loss. #cdnpoli	Tue Oct 25 15:34:45 +0000 2016	Calgary Alberta Portland OR San Diego California
790932957783584769	Hell yes! @ShopprsDrugMart taking their first step in legitimizing medical marijuana as a form of medication! #legalization #cdnpoli #weed https://t.co/p94YwKKuCz	Tue Oct 25 15:08:06 +0000 2016	Unsurrendered & Unceded Algonquin Territory
790909312096833537	Impaired driving laws continue to be speed bump in future marijuana legalization. https://t.co/Xa6VSmCG70	Tue Oct 25 13:34:09 +0000 2016	Edmonton, AB
790873300041814016	Find the smartest woman &amp; the smartest man, breed a super intelligent child who grows up, takes over the planet. Legal weed! #MyTwitterGoal	Tue Oct 25 11:11:03 +0000 2016	Winnipeg, Manitoba
790765341483765761	#Stigmabase USCA - Remember the start of the war to legalize marijuana - Not that Grant Krieger isn't feeling lost… https://t.co/R6UoaRPswU	Tue Oct 25 04:02:03 +0000 2016	America | United Kindom
790765125439553536	@findingwhitney time to legalize marijuana and get those repairs done	Tue Oct 25 04:01:12 +0000 2016	Brampton, Ontario
790715590134542337	Wonder if she tried the local produce? https://t.co/gcEebtFIfs	Tue Oct 25 00:44:22 +0000 2016	Spruce Grove, Albertastan.
790700452123848704	Marijuana wasn't 'cash cow' for Colorado, Alberta minister learns https://t.co/Qni6yaZibX	Mon Oct 24 23:44:12 +0000 2016	Calgary, AB
790661622046068739	@HuskerFox marijuana and marijuana legalization. I want some of that money the Americans are making. I think it's sad that we fell behind	Mon Oct 24 21:09:55 +0000 2016	Montréal, Québec
790540144705212416	@Bird5Ca also marijuana can be ingested or vaped, the benefits of legalization will out weigh any disadvantages	Mon Oct 24 13:07:12 +0000 2016	Montréal, Québec
790532421586259970	What You Need To Know About #Cannabis #Legalization - https://t.co/rdLCda92jM via @greenflwrmedia	Mon Oct 24 12:36:31 +0000 2016	Brockville, Ontario
790412375262363648	Here's our Monday Sun Media editorial: Legal pot: Easier said than done https://t.co/a5vh3eoKxM #cdnpoli #topoli #tocouncil #onpoli https://t.co/zfyXsa6msO	Mon Oct 24 04:39:30 +0000 2016	website:
790384270556688388	#legalization #cannabis #potstocks #marijuana #7Acres #prohibition #johnfowler is smokin hot! https://t.co/JizEuKm1NZ	Mon Oct 24 02:47:49 +0000 2016	Edmonton, Alberta
790248848333627392	@OccupyWallStNYC Trump will legalize pot.. https://t.co/zYZxKJLtBj	Sun Oct 23 17:49:42 +0000 2016	Edmonton, Alberta
789895890672709632	Inside big pharma's fight to block recreational marijuana https://t.co/UJ4JcHSPBA	Sat Oct 22 18:27:10 +0000 2016	Halifax, Nova Scotia
789797873022078976	Gallup poll: 60% of Americans support marijuana legalization: highest in history ahead of 2016 election. #marijuana https://t.co/zScDzMuuiP	Sat Oct 22 11:57:41 +0000 2016	Ottawa
789641634678005760	#cannabis #stock #legalization #marijuana # investing #pennystock https://t.co/R30NerBqqi	Sat Oct 22 01:36:51 +0000 2016	Edmonton, Alberta
789465818664800256	@roitweets poor choice of a headline, however; Record high 60 percent of Americans back legal pot, poll finds https://t.co/pwTpWr7eBr	Fri Oct 21 13:58:13 +0000 2016	Calgary & Muscat
789301610912555008	Here are All the U.S. Legislators Who Support Marijuana Legalization. Check Out the Full List! https://t.co/2OECkAp4L9 https://t.co/9h7KBLc4iH	Fri Oct 21 03:05:43 +0000 2016	Toronto, Canada
788914880116060160	@Yowan Trump wants to make pot legal..	Thu Oct 20 01:28:59 +0000 2016	Toronto, Canada
788851678095216640	GO FIGURE #BC and #Quebec #aren’t #using Canada’s #legal medical #marijuana #system. #WHY is this so #shocking??. https://t.co/QjTma5Vxa9 https://t.co/zOHmYKpGPX	Wed Oct 19 21:17:50 +0000 2016	Toronto, Canada
788816953594945536	You know it's 2016 on the @tsx_tsxv when a speculative legal marijuana security $CGC is up 300% https://t.co/eugVnDEyxJ	Wed Oct 19 18:59:51 +0000 2016	Toronto
788756294228381696	Alberta's Justice Minister and Solicitor General is Colorado-bound to see how the state has handled legal weed: https://t.co/nq9eG17qsC	Wed Oct 19 14:58:49 +0000 2016	London, Ontario
788752621502799872	@TheZone913 Biggest turn-offs for dating? My disability, the poverty I'm forced into by government, &amp; my LEGAL pain medication; marijuana.	Wed Oct 19 14:44:13 +0000 2016	Victoria, BC
788706013960691713	One year in and still no legal weed.	Wed Oct 19 11:39:01 +0000 2016	Ottawa
788701882231336963	One year since federal Liberals won the election! Don't forget the first anniversary gift is paper, or, once they legalize pot, papers	Wed Oct 19 11:22:36 +0000 2016	St. John's, NL
788563251365748736	Alberta justice minister plans pot policy research trip to Denver https://t.co/Aad5gQheve	Wed Oct 19 02:11:44 +0000 2016	Calgary, AB
788444942511251456	Legalization of #marijuana is coming, so how do we determine the sobriety of drivers? A test is needed #aptasummit @APTA_Trucking @CanTruck	Tue Oct 18 18:21:37 +0000 2016	Sackville, Nova Scotia
788410639525916672	Encouraging to see Canada learning from our friends in Colorado ahead of national legalization of #cannabis. https://t.co/ouWzHggTzU	Tue Oct 18 16:05:19 +0000 2016	Canada
788398581069864960	New poll is out: Where should we buy our pot once it’s legal? : https://t.co/5ovDP8Otod https://t.co/ABNWGy33Zk	Tue Oct 18 15:17:24 +0000 2016	Ottawa, Ontario, Canada
788391077887606784	READ: Why the government can’t charge more than $10 a gram for legal pot https://t.co/Ds9FtriptJ	Tue Oct 18 14:47:35 +0000 2016	Canada - Australia
788372086947319808	To really eliminate the black market, legal pot would have to be sold for under $10 a gram, experts says. https://t.co/HUAOAsAcuQ	Tue Oct 18 13:32:07 +0000 2016	Edmonton, AB
788306594299641856	Why pricing pot is a delicate issue. cdnpoli https://t.co/VzPvKEc6s5	Tue Oct 18 09:11:52 +0000 2016	Calgary, AB
788302116620083201	Why pricing pot is a delicate issue. cdnpoli https://t.co/Y6xhHrZuD6	Tue Oct 18 08:54:05 +0000 2016	Montreal, QC
788229520054636544	B.C. residents favour pot shops for legal marijuana sales: poll https://t.co/FNxd8QuIBA	Tue Oct 18 04:05:36 +0000 2016	Vancouver, BC
788204961838473217	@pivotlegal Raise the Rates while we debate! Maintaining Poverty while we strategize is like arresting potheads while we legalize #Marijuana	Tue Oct 18 02:28:01 +0000 2016	Victoria, BC
788129920878870528	LIVE!!! @GovJVentura tells us about his #legalize #marijuana book w/ @iamToddyTickles &amp; @milanmiracle @canadalaughs @siriusxmcanada #SXM168	Mon Oct 17 21:29:50 +0000 2016	Toronto - New York - LA
788126682209095680	Or did the government say they were gonna legalize weed to get voters :thinking_face: https://t.co/qi8K9TsmuA	Mon Oct 17 21:16:58 +0000 2016	Toronto - New York - LA
788122465008553984	Richard Branson to cannabis advocates: Fight to legalize it: https://t.co/kKHV4eMenw @richardbranson @Rickthelaureate @joerogan #cannabis	Mon Oct 17 21:00:12 +0000 2016	London, Ontario
788101799546716160	Y'all know that weed will never fully be legal in Canada :loudly_crying_face: we were sold lies	Mon Oct 17 19:38:05 +0000 2016	London, Ontario
787704039710429184	@JodieEmery its like the govt thinks there will be a million new pot smokers... peeps aren't going to start smoking pot just cuz its legal.	Sun Oct 16 17:17:32 +0000 2016	Vancouver BC
787684045622620160	'Park those biases and you stay objective': Colorado's advice to Canada on legal pot https://t.co/0sRdPX4ckL	Sun Oct 16 15:58:05 +0000 2016	Ottawa, ON
787666811835682816	Legal marijuana had little impact on public health Colorado Chf Med Officer tells Canada cdnpoli CDPHE Public… https://t.co/GxMrtF4I3W	Sun Oct 16 14:49:36 +0000 2016	Ottawa, ON
787637367851003905	.@globalnews confuses fucking moron for marijuana expert; publishes lies about Cannabis. #ReeferMadness @GlobalBC https://t.co/F7a3wWSMxp	Sun Oct 16 12:52:36 +0000 2016	Victoria, BC
787635751760515076	Pot legalization may roll back progress on tobacco, expert fears https://t.co/R75g2ptPsO	Sun Oct 16 12:46:11 +0000 2016	Edmonton, AB
787631457342672896	Pot legalization may roll back progress on tobacco, expert fears https://t.co/palJAYYWBr	Sun Oct 16 12:29:07 +0000 2016	Calgary, AB
787597227371868160	'Park those biases': Colorado's advice to Canada on legal pot https://t.co/5b2njegpDr	Sun Oct 16 10:13:06 +0000 2016	Ottawa, ON
787308968448290816	Liberals are looking for excuses to not legalize pot because in actuality they are very conservative. #cdnpoli https://t.co/AWV8Av6HdD	Sat Oct 15 15:07:40 +0000 2016	Howe Island
787283127563542529	Trudeau's Faux-Feminism similar to Faux Marijuana Legalization; Does @JustinTrudeau have a spine? #cannabis #Trump https://t.co/6ml7RRwihX	Sat Oct 15 13:24:59 +0000 2016	Victoria, BC
787086663793061890	The DEA continuing, supporting, and stoking the war on drugs, as usual https://t.co/I7ToH201c7 via @nbcnews	Sat Oct 15 00:24:18 +0000 2016	Edmonton, Alberta
